STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900101,43,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900102,40,25
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900103,40,26
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900104,50,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900105,46,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900106,46,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900107,44,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900108,42,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900109,38,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900110,45,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900111,44,35
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900112,42,32
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900113,40,21
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900114,31,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900115,35,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900116,36,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900117,54,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900118,60,37
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900119,63,32
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900120,38,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900121,33,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900122,35,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900123,40,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900124,42,32
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900125,51,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900126,57,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900127,39,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900128,43,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900129,55,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900130,38,32
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900131,43,26
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900201,51,27
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900202,52,27
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900203,50,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900204,37,27
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900205,37,19
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900206,34,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900207,55,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900208,54,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900209,56,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900210,60,40
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900211,60,26
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900212,46,27
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900213,44,24
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900214,53,38
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900215,56,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900216,36,32
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900217,55,36
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900218,44,13
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900219,39,15
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900220,55,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900221,36,16
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900222,48,19
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900223,60,35
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900224,64,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900225,37,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900226,23,4
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900227,24,5
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900228,32,19
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900301,37,17
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900302,40,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900303,50,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900304,55,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900305,35,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900306,35,24
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900307,28,8
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900308,34,9
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900309,47,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900310,54,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900311,69,43
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19900312,65,40
