STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TOBS
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000101,-9999,-9999,-9999,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000102,-9999,-9999,-9999,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000103,-9999,-9999,-9999,53
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000104,-9999,-9999,-9999,55
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000105,0.62,-9999,-9999,32
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000106,-9999,-9999,-9999,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000107,-9999,-9999,-9999,32
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000108,-9999,-9999,-9999,25
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000109,-9999,-9999,-9999,35
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000110,-9999,-9999,-9999,41
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000111,1.02,-9999,-9999,42
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000112,-9999,-9999,-9999,37
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000113,-9999,-9999,-9999,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000114,0,-9999,-9999,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000115,-9999,-9999,-9999,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000116,-9999,-9999,-9999,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000117,-9999,-9999,-9999,5
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000118,-9999,-9999,-9999,1
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000119,-9999,-9999,-9999,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000120,-9999,-9999,-9999,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000121,0.27,-9999,2,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000122,-9999,-9999,-9999,6
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000123,-9999,-9999,-9999,14
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000125,0.15,-9999,1.5,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000126,0.32,-9999,6.5,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000127,-9999,-9999,-9999,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000128,-9999,-9999,-9999,6
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000129,-9999,-9999,-9999,14
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000130,-9999,-9999,-9999,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000131,0.9,4,-9999,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000201,-9999,-9999,-9999,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000202,-9999,-9999,-9999,20
