STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT06,WT11,WT04,WT03
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090101,1.00,0.0,0.0,31,12,12,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090102,0.00,0.0,0.0,25,12,25,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090103,0.00,0.0,0.0,30,25,26,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090104,0.00,0.0,0.0,36,21,22,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090105,0.03,0.0,0.0,41,22,35,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090106,0.00,0.0,0.0,42,29,29,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090107,0.30,0.0,0.0,33,27,32,-9999,1,-9999,1,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090108,0.60,0.0,0.0,35,32,34,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090109,0.00,0.0,0.0,36,23,23,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090110,0.00,0.0,0.0,30,19,22,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090111,1.25,0.0,0.0,27,22,23,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090112,0.00,0.0,0.0,31,15,18,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090113,0.00,0.0,0.0,32,17,17,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090114,0.00,0.0,0.0,37,14,14,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090115,0.00,1.0,0.0,21,14,14,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090116,0.00,0.0,0.0,20,6,6,-9999,-9999,-9999,-9999,-9999
