STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00283704,HARRISON NJ US,20100401,70,43
GHCND:USC00283704,HARRISON NJ US,20100402,67,45
GHCND:USC00283704,HARRISON NJ US,20100403,64,47
GHCND:USC00283704,HARRISON NJ US,20100404,77,47
GHCND:USC00283704,HARRISON NJ US,20100405,80,51
GHCND:USC00283704,HARRISON NJ US,20100406,77,57
GHCND:USC00283704,HARRISON NJ US,20100407,92,56
GHCND:USC00283704,HARRISON NJ US,20100408,81,63
GHCND:USC00283704,HARRISON NJ US,20100409,70,48
GHCND:USC00283704,HARRISON NJ US,20100410,63,42
GHCND:USC00283704,HARRISON NJ US,20100411,76,51
GHCND:USC00283704,HARRISON NJ US,20100412,67,48
GHCND:USC00283704,HARRISON NJ US,20100413,56,51
GHCND:USC00283704,HARRISON NJ US,20100414,67,41
GHCND:USC00283704,HARRISON NJ US,20100415,73,48
GHCND:USC00283704,HARRISON NJ US,20100416,55,46
GHCND:USC00283704,HARRISON NJ US,20100417,56,47
GHCND:USC00283704,HARRISON NJ US,20100418,58,42
GHCND:USC00283704,HARRISON NJ US,20100419,63,45
GHCND:USC00283704,HARRISON NJ US,20100420,71,43
GHCND:USC00283704,HARRISON NJ US,20100421,69,49
GHCND:USC00283704,HARRISON NJ US,20100422,73,49
GHCND:USC00283704,HARRISON NJ US,20100423,68,43
GHCND:USC00283704,HARRISON NJ US,20100424,68,46
GHCND:USC00283704,HARRISON NJ US,20100425,55,46
GHCND:USC00283704,HARRISON NJ US,20100426,52,48
GHCND:USC00283704,HARRISON NJ US,20100427,60,41
GHCND:USC00283704,HARRISON NJ US,20100428,57,39
GHCND:USC00283704,HARRISON NJ US,20100429,70,45
GHCND:USC00283704,HARRISON NJ US,20100430,80,53
GHCND:USC00283704,HARRISON NJ US,20100501,87,57
GHCND:USC00283704,HARRISON NJ US,20100502,90,66
GHCND:USC00283704,HARRISON NJ US,20100503,83,-9999
GHCND:USC00283704,HARRISON NJ US,20100504,83,62
GHCND:USC00283704,HARRISON NJ US,20100505,82,55
GHCND:USC00283704,HARRISON NJ US,20100506,80,61
GHCND:USC00283704,HARRISON NJ US,20100507,62,57
GHCND:USC00283704,HARRISON NJ US,20100508,78,51
GHCND:USC00283704,HARRISON NJ US,20100509,56,44
GHCND:USC00283704,HARRISON NJ US,20100510,62,41
GHCND:USC00283704,HARRISON NJ US,20100511,57,40
GHCND:USC00283704,HARRISON NJ US,20100512,50,45
GHCND:USC00283704,HARRISON NJ US,20100513,70,42
GHCND:USC00283704,HARRISON NJ US,20100514,80,56
GHCND:USC00283704,HARRISON NJ US,20100515,75,62
GHCND:USC00283704,HARRISON NJ US,20100516,75,54
GHCND:USC00283704,HARRISON NJ US,20100517,75,52
GHCND:USC00283704,HARRISON NJ US,20100518,63,50
GHCND:USC00283704,HARRISON NJ US,20100519,66,51
GHCND:USC00283704,HARRISON NJ US,20100520,83,55
GHCND:USC00283704,HARRISON NJ US,20100521,86,59
GHCND:USC00283704,HARRISON NJ US,20100522,74,58
GHCND:USC00283704,HARRISON NJ US,20100523,72,59
GHCND:USC00283704,HARRISON NJ US,20100524,75,61
GHCND:USC00283704,HARRISON NJ US,20100525,84,59
GHCND:USC00283704,HARRISON NJ US,20100526,95,64
GHCND:USC00283704,HARRISON NJ US,20100527,84,64
GHCND:USC00283704,HARRISON NJ US,20100528,70,57
GHCND:USC00283704,HARRISON NJ US,20100529,80,63
GHCND:USC00283704,HARRISON NJ US,20100530,87,67
GHCND:USC00283704,HARRISON NJ US,20100531,92,68
GHCND:USC00283704,HARRISON NJ US,20100601,87,68
GHCND:USC00283704,HARRISON NJ US,20100602,86,67
GHCND:USC00283704,HARRISON NJ US,20100603,90,68
GHCND:USC00283704,HARRISON NJ US,20100604,90,72
GHCND:USC00283704,HARRISON NJ US,20100605,89,77
GHCND:USC00283704,HARRISON NJ US,20100606,92,62
GHCND:USC00283704,HARRISON NJ US,20100607,78,56
GHCND:USC00283704,HARRISON NJ US,20100608,73,58
GHCND:USC00283704,HARRISON NJ US,20100609,68,55
GHCND:USC00283704,HARRISON NJ US,20100610,77,58
GHCND:USC00283704,HARRISON NJ US,20100611,72,58
GHCND:USC00283704,HARRISON NJ US,20100612,84,61
GHCND:USC00283704,HARRISON NJ US,20100613,80,67
GHCND:USC00283704,HARRISON NJ US,20100614,82,66
GHCND:USC00283704,HARRISON NJ US,20100615,81,65
GHCND:USC00283704,HARRISON NJ US,20100616,76,61
GHCND:USC00283704,HARRISON NJ US,20100617,76,60
GHCND:USC00283704,HARRISON NJ US,20100618,87,60
GHCND:USC00283704,HARRISON NJ US,20100619,82,64
GHCND:USC00283704,HARRISON NJ US,20100620,93,72
GHCND:USC00283704,HARRISON NJ US,20100621,90,72
GHCND:USC00283704,HARRISON NJ US,20100622,87,70
GHCND:USC00283704,HARRISON NJ US,20100623,92,71
GHCND:USC00283704,HARRISON NJ US,20100624,96,79
GHCND:USC00283704,HARRISON NJ US,20100625,89,71
GHCND:USC00283704,HARRISON NJ US,20100626,91,69
GHCND:USC00283704,HARRISON NJ US,20100627,95,72
GHCND:USC00283704,HARRISON NJ US,20100628,95,80
GHCND:USC00283704,HARRISON NJ US,20100629,91,71
GHCND:USC00283704,HARRISON NJ US,20100630,81,61
GHCND:USC00283704,HARRISON NJ US,20100701,78,61
GHCND:USC00283704,HARRISON NJ US,20100702,82,60
GHCND:USC00283704,HARRISON NJ US,20100703,92,62
GHCND:USC00283704,HARRISON NJ US,20100704,98,70
GHCND:USC00283704,HARRISON NJ US,20100705,100,74
GHCND:USC00283704,HARRISON NJ US,20100706,106,80
GHCND:USC00283704,HARRISON NJ US,20100707,100,81
GHCND:USC00283704,HARRISON NJ US,20100708,87,76
GHCND:USC00283704,HARRISON NJ US,20100709,88,75
GHCND:USC00283704,HARRISON NJ US,20100710,81,75
GHCND:USC00283704,HARRISON NJ US,20100711,93,71
GHCND:USC00283704,HARRISON NJ US,20100712,94,70
GHCND:USC00283704,HARRISON NJ US,20100713,81,73
GHCND:USC00283704,HARRISON NJ US,20100714,78,73
GHCND:USC00283704,HARRISON NJ US,20100715,87,72
GHCND:USC00283704,HARRISON NJ US,20100716,97,74
GHCND:USC00283704,HARRISON NJ US,20100717,94,76
GHCND:USC00283704,HARRISON NJ US,20100718,94,78
GHCND:USC00283704,HARRISON NJ US,20100719,95,75
GHCND:USC00283704,HARRISON NJ US,20100720,90,74
GHCND:USC00283704,HARRISON NJ US,20100721,95,76
GHCND:USC00283704,HARRISON NJ US,20100722,90,73
GHCND:USC00283704,HARRISON NJ US,20100723,91,75
GHCND:USC00283704,HARRISON NJ US,20100724,100,82
GHCND:USC00283704,HARRISON NJ US,20100725,95,71
GHCND:USC00283704,HARRISON NJ US,20100726,89,66
GHCND:USC00283704,HARRISON NJ US,20100727,93,67
GHCND:USC00283704,HARRISON NJ US,20100728,92,73
GHCND:USC00283704,HARRISON NJ US,20100729,81,75
